Player,Season,Club,Pos'n,MLS,Prev WARP,Career WARP,Prev Salary,Club Offer,Player Request,New Salary
Matt Harvey,2018,NYN,rhp-s,5.072,-1.9,11.3,"$5,125,000 ",,,"$5,625,000 "
Tom Koehler,2018,TOR,lhp-s,4.152,-1.5,1,"$5,750,000 ",,,"$2,000,000 "
Zack Wheeler,2018,NYN,rhp-s,4.098,-1.4,1.9,"$800,000 ","$1,500,000 ","$1,900,000 ","$1,900,000 "
Kyle Gibson,2018,MIN,rhp-s,4.039,-1.3,4.9,"$2,900,000 ","$4,200,000 ","$4,550,000 ","$4,200,000 "
Blaine Hardy,2018,DET,lhp,2.13,-1.2,-1.6,"$540,000 ",,,"$795,000 "
Jeremy Jeffress,2018,MIL,rhp,4.104,-1.1,1.8,"$2,100,000 ",,,"$1,700,000 "
Nick Martinez,2018,TEX,rhp,3.002,-1,-6.1,"$545,000 ",released,,
James McCann,2018,DET,c,3.028,-0.9,-2.5,"$552,100 ",,,"$2,375,000 "
Steven Wright,2018,BOS,rhp-s,3.089,-0.8,3.2,"$593,500 ",,,"$1,100,000 "
Maikel Franco,2018,PHI,3b,2.17,-0.7,2.7,"$560,000 ",,,"$2,950,000 "
Brandon Maurer,2018,KC,rhp,4.089,-0.6,0.9,"$1,900,000 ","$2,950,000 ","$3,500,000 ","$2,950,000 "
Aaron Sanchez,2018,TOR,rhp-s,3.069,-0.6,5,"$535,000 ",,,"$2,700,000 "
Chris Herrmann,2018,ARI,c,4.001,-0.5,-1.8,"$937,500 ",,,"$1,300,000 "
Mike Foltynewicz,2018,ATL,rhp-s,2.163,-0.4,0,"$544,000 ","$2,200,000 ","$2,300,000 ","$2,200,000 "
Jake Petricka,2018,CHA,rhp,4.044,-0.4,1.7,"$825,000 ",non-tendered,,
Sam Dyson,2018,SFN,rhp,3.142,-0.4,4.2,"$3,520,000 ",,,"$4,425,000 "
Austin Romine,2018,NYA,c,4.045,-0.2,-1,"$805,000 ",,,"$1,100,000 "
Xavier Cedeno,2018,TBA,rhp,4.06,-0.2,1.4,"$1,300,000 ",non-tendered,,
Justin Grimm,2018,CHN,rhp,4.153,-0.2,1.7,"$1,825,000 ","$2,200,000 ","$2,475,000 ","$2,200,000 "
Shelby Miller,2018,ARI,rhp-s,4.166,-0.2,2.4,"$4,700,000 ","$4,700,000 ","$4,900,000 ","$4,900,000 "
Brock Holt,2018,BOS,3b-rf,4.052,-0.2,4.2,"$1,950,000 ",,,"$2,225,000 "
Ryan Rua,2018,TEX,of,2.129,-0.1,0.4,"$544,740 ",,,"$870,000 "
Jake Smolinski,2018,OAK,rhp,3.016,-0.1,1.1,"$545,000 ",,,"$775,000 "
Hansel Robles,2018,NYN,rhp,2.129,-0.1,1.5,"$553,125 ",,,"$900,000 "
J.J. Hoover,2018,ARI,rhp,4.133,-0.1,1.9,"$900,000 ",non-tendered,,n/a
Chad Bettis,2018,COL,rhp-s,3.096,-0.1,2.1,"$545,000 ",,,"$2,000,000 "
Jurickson Profar,2018,TEX,lf,3.165,0,-0.7,"$1,005,000 ",,,"$1,050,000 "
Tony Cingrani,2018,LAN,lhp,4.088,0,0.2,"$1,825,000 ",,,"$2,300,000 "
Danny Santana,2018,ATL,of,3.111,0,1,"$545,000 ",non-tendered,,n/a
Alex Wilson,2018,DET,rhp,4.038,0,1.2,"$1,175,000 ",,,"$1,925,000 "
Carson Smith,2018,BOS,rhp,3.028,0,2.3,"$556,750 ",,,"$850,000 "
Carter Capps,2018,SDN,rhp,4.133,0,2.4,"$987,500 ",,,"$1,062,500 "
Pedro Baez,2018,LAN,rhp,3.059,0,2.6,"$550,000 ",,,"$1,500,000 "
Zach McAllister,2018,CLE,rhp,5.077,0,2.6,"$1,825,000 ",,,"$2,450,000 "
Al Alburquerque,2018,CHA,rhp,5.045,0,4.3,"$900,000 ",non-tendered,,
Jose Iglesias,2018,DET,ss,5.036,0,4.3,"$4,100,000 ","$5,600,000 ","$6,800,000 ","$6,275,000 "
Jeurys Familia,2018,NYN,rhp-c,5.023,0,6.3,"$7,425,000 ",,,"$7,925,000 "
Ryan Goins,2018,TOR,ss,3.106,0.1,-1.1,"$548,200 ",non-tendered,,
Josh Phegley,2018,OAK,rhp,3.114,0.1,-0.9,"$545,000 ",,,"$905,000 "
Andrew Heaney,2018,ANA,lhp-s,2.15,0.1,0.2,"$543,000 ",,,"$800,000 "
Jace Peterson,2018,ATL,2b-3b,3.003,0.1,2.5,"$555,000 ",non-tendered,,n/a
Devon Travis,2018,TOR,2b,3,0.1,3.7,"$545,200 ",,,"$1,450,000 "
Kevin Pillar,2018,TOR,of,3.113,0.1,4.9,"$555,000 ",,,"$3,250,000 "
Jake Diekman,2018,TEX,lhp,5.05,0.1,5,"$2,550,000 ",,,"$2,712,500 "
Zack Britton,2018,BAL,lhp-c,5.158,0.1,7.7,"$11,500,000 ",,,"$12,000,000 "
Jose Alvarez,2018,ANA,lhp,3.035,0.2,0.3,"$557,500 ",,,"$1,050,000 "
Dan Winkler,2018,ATL,rhp,3,0.2,0.4,"$545,000 ",,,"$610,000 "
Shae Simmons,2018,SEA,rhp,3.111,0.2,0.7,"$536,200 ",non-tendered,,
Sandy Leon,2018,BOS,c,3.149,0.2,0.9,"$1,300,000 ",,,"$1,950,000 "
